expenditure,wealth,income,pop,pop_dens,perc_intergov,grow_rate
237,21019,9306,1081,26,18,14.9
155,15112,6779,2915,29,20.5,33.6
221,24973,10787,1066,28,16.9,32.5
197,23468,11507,5275,87,15.4,19.5
330,39364,10285,1566,12,18.3,3.4
139,40026,12718,2133,44,14.3,-3
222,22493,12403,3915,72,25.2,3.3
371,24387,8662,659,10,30.3,-3.2
101,31392,7517,1283,22,57.3,29.6
349,25465,10410,1866,17,12.7,5.5
166,18108,11619,2558,29,30.3,6.3
186,27482,13218,6434,81,14.4,16.9
196,27728,10040,17400,378,6.7,5.2
234,23526,11568,3774,33,29,9.5
151,21376,11882,4908,131,23.7,14.4
256,98341,13824,1546,36,18.4,13.4
332,134070,18489,1484,30,15.3,10.8
221,104544,17079,1797,49,23,7.2
227,79050,18185,4437,83,14.6,2.8
144,40996,12652,4845,104,16.2,5.9
141,59585,12509,1478,82,19.7,13.7
240,93169,13002,3171,77,10.4,9.3
239,63028,13083,1731,44,15.7,28.3
275,60092,14032,2028,166,16.3,4.6
164,49257,14278,2943,67,13.3,9.8
237,49461,15283,4115,219,4.5,1.8
355,123608,16468,1822,38,14.1,8.8
108,48907,15491,5463,192,26,14
134,51799,11824,3681,96,18,16
187,63866,14110,2401,67,15.2,4.8
154,28129,11124,3133,270,10.6,8.4
152,47447,13118,2170,86,18.2,-1.7
362,110860,15501,1113,28,10,0.9
175,19631,9558,1116,44,16.3,-2.5
235,37883,13435,6954,142,6.6,-1.8
292,29276,9708,851,20,15,0.5
231,17148,8526,711,28,15.5,20.3
164,23529,9455,892,37,17.9,3.6
120,32570,12622,3046,62,16,2.3
210,33540,10944,617,25,28.4,3.5
155,25197,10622,943,39,18.4,20.3
187,29716,12047,1565,58,20.9,-3.7
179,21776,11665,1162,52,20.4,-2.2
234,22213,9137,1037,35,19.7,16.5
265,22519,9872,554,18,34.4,12.7
349,39056,10876,1079,24,14.6,7.7
233,34599,12390,2196,46,14.2,5.8
214,22542,9001,921,36,68.6,19.4
446,163655,11376,1011,9,18.9,6.3
557,101365,12777,548,12,15.1,-2.1
563,177870,10671,1944,14,13,4.3
144,38047,11521,2531,48,24.7,23.7
146,63862,12246,1957,32,14.9,1.6
136,81624,10571,1827,42,10.4,0.8
227,48417,12159,2076,26,19.5,3.6
424,70187,11713,1118,19,15.3,-10.3
304,63615,10833,2071,13,13.2,4.2
406,64180,11728,1441,34,11,-3
341,56410,11027,1442,23,16.7,12.8
232,42047,10277,1391,26,21.3,17
251,39202,9727,1541,26,19,10.1
394,115265,11258,2408,25,12,-1.5
456,78779,11442,2407,28,10.8,4.2
1667,54947,12335,1937,40,1.8,-2.4
214,111904,11694,476,10,15.8,38.8
351,82564,9522,999,10,16.3,2.7
128,57662,12018,2650,28,16.7,4.7
189,52860,11175,4974,115,7.6,-17.5
160,50328,14278,11109,370,13.3,46.3
267,91916,19838,3833,100,17.8,10.8
175,48674,13737,7881,141,12.3,7.1
